tile,unit,zone,url
10SGH5592,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5592.tif
10SGH5593,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5593.tif
10SGH5594,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5594.tif
10SGH5595,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5595.tif
10SGH5596,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5596.tif
10SGH5597,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5597.tif
10SGH5598,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5598.tif
10SGH5691,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5691.tif
10SGH5692,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5692.tif
10SGH5693,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5693.tif
10SGH5694,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5694.tif
10SGH5695,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5695.tif
10SGH5696,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5696.tif
10SGH5697,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5697.tif
10SGH5698,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5698.tif
10SGH5699,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5699.tif
10SGH5790,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5790.tif
10SGH5791,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5791.tif
10SGH5792,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5792.tif
10SGH5793,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5793.tif
10SGH5794,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5794.tif
10SGH5795,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5795.tif
10SGH5796,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5796.tif
10SGH5797,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5797.tif
10SGH5798,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5798.tif
10SGH5799,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5799.tif
10SGH5888,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5888.tif
10SGH5889,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5889.tif
10SGH5890,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5890.tif
10SGH5891,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5891.tif
10SGH5892,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5892.tif
10SGH5893,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5893.tif
10SGH5894,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5894.tif
10SGH5895,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5895.tif
10SGH5896,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH5896.tif
